r,c,f,cover@DAPI,MaxIntensity@CY3,MinIntensity@CY3,MedianIntensity@CY3,sat_cell_ratio@CY3,MaxIntensity@CY5,MinIntensity@CY5,MedianIntensity@CY5,sat_cell_ratio@CY5,MaxIntensity@FRET,MinIntensity@FRET,MedianIntensity@FRET,sat_cell_ratio@FRET,error,msg,sat_cnt,dyn_cnt
2.0,4.0,5.0,0.224710219478738,52432.0,70.0,200.0,0.0,45470.0,61.0,189.0,0.0,11447.0,46.0,171.0,0.0,20,,0.0,0.0
2.0,5.0,1.0,0.1362962962962963,32616.0,67.0,196.0,0.0,30279.0,47.0,184.0,0.0,7256.0,41.0,167.0,0.0,20,,0.0,0.0
2.0,5.0,2.0,0.10981910150891633,34118.0,66.0,205.0,0.0,26688.0,46.0,193.0,0.0,7047.0,51.0,174.0,0.0,20,,0.0,0.0
2.0,5.0,3.0,0.20099365569272976,33833.0,64.0,200.0,0.0,18512.0,45.0,188.0,0.0,6951.0,30.0,171.0,0.0,20,,0.0,0.0
2.0,5.0,4.0,0.17131858710562414,50116.0,48.0,203.0,0.0,36032.0,57.0,189.0,0.0,10461.0,26.0,171.0,0.0,20,,0.0,0.0
2.0,5.0,5.0,0.26122685185185185,41760.0,57.0,201.0,0.0,32005.0,59.0,188.0,0.0,9117.0,42.0,171.0,0.0,20,,0.0,0.0
2.0,6.0,1.0,0.09997170781893004,20105.0,70.0,197.0,0.0,16536.0,71.0,184.0,0.0,5472.0,55.0,170.0,0.0,20,,0.0,0.0
2.0,6.0,2.0,0.1001954732510288,34309.0,71.0,204.0,0.0,32219.0,61.0,191.0,0.0,8405.0,49.0,173.0,0.0,20,,0.0,0.0
2.0,6.0,3.0,0.15297067901234568,30276.0,58.0,199.0,0.0,22079.0,56.0,187.0,0.0,6393.0,52.0,170.0,0.0,20,,0.0,0.0
2.0,6.0,4.0,0.1278369341563786,37675.0,74.0,200.0,0.0,35582.0,66.0,187.0,0.0,7934.0,57.0,169.0,0.0,20,,0.0,0.0
2.0,6.0,5.0,0.24015946502057614,31283.0,72.0,199.0,0.0,26656.0,51.0,187.0,0.0,7079.0,37.0,170.0,0.0,20,,0.0,0.0
2.0,7.0,1.0,0.05368312757201646,18855.0,71.0,193.0,0.0,14048.0,51.0,183.0,0.0,4443.0,48.0,167.0,0.0,20,,0.0,0.0
2.0,7.0,2.0,0.08283007544581619,46747.0,65.0,199.0,0.0,45626.0,49.0,187.0,0.0,10103.0,17.0,170.0,0.0,20,,0.0,0.0
